Name,Team,Position Group,Draft Grade,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle,Height,Weight,Arm Length,Hand Size,Position,Combine ID,URL
Sam Darnold,USC,QB,7.1,4.85,,26.5,105,6.96,4.4,,75,221,31,9.375,QB,QB05,https://www.nfl.com/prospects/sam-darnold?id=32462018-0002-5600-578a-86541c8f8891
Josh Rosen,UCLA,QB,6.19,4.92,,31,111,7.09,4.28,,76,226,31.75,9.875,QB,QB15,https://www.nfl.com/prospects/josh-rosen?id=32462018-0002-5600-59bd-f150d938ca3e
Baker Mayfield,Oklahoma,QB,6.09,4.84,,29,111,7,4.28,,73,215,30.25,9.25,QB,QB14,https://www.nfl.com/prospects/baker-mayfield?id=32462018-0002-5600-63bc-195cdc34bdb5
Lamar Jackson,Louisville,QB,6.06,,,,,,,,74,216,33.125,9.5,QB,QB10,https://www.nfl.com/prospects/lamar-jackson?id=32462018-0002-5600-53b1-0f1a50e94b24
Josh Allen,Wyoming,QB,5.95,4.75,,33.5,119,6.9,4.4,,77,237,33.25,10.125,QB,QB02,https://www.nfl.com/prospects/josh-allen?id=32462018-0002-5600-29bc-8750224414bd
Mason Rudolph,Oklahoma State,QB,5.66,4.9,,26,,,,,77,235,32.375,9.125,QB,QB16,https://www.nfl.com/prospects/mason-rudolph?id=32462018-0002-5599-4271-c09bf8338e3c
Luke Falk,Washington State,QB,5.64,,,26.5,103,,,,76,215,32,9.25,QB,QB07,https://www.nfl.com/prospects/luke-falk?id=32462018-0002-5599-38f9-753dda1f2cc9
Mike White,WKU,QB,5.6,5.09,,27,96,7.4,4.4,,77,224,31.875,9.5,QB,QB18,https://www.nfl.com/prospects/mike-white?id=32462018-0002-5599-43bb-5504c9c75914
Kyle Lauletta,Richmond,QB,5.19,4.81,,31,113,6.95,4.07,,75,222,30.625,9.75,QB,QB11,https://www.nfl.com/prospects/kyle-lauletta?id=32462018-0002-5598-8268-5d3cc33787e7
Riley Ferguson,Memphis,QB,5.15,4.98,,29,110,6.96,4.4,,75,212,30.875,9.625,QB,QB08,https://www.nfl.com/prospects/riley-ferguson?id=32462018-0002-5599-5128-de3727d75838
Kurt Benkert,Virginia,QB,5.1,4.95,16,31,112,7.15,4.33,,75,218,31,9.5,QB,QB04,https://www.nfl.com/prospects/kurt-benkert?id=32462018-0002-5600-7688-8d686928f04a
Quinton Flowers,South Florida,QB,5,4.63,,,112,6.81,4.57,,70,214,30.875,9.75,QB,QB09,https://www.nfl.com/prospects/quinton-flowers?id=32462018-0002-5600-348e-a61cdf388153
Tanner Lee,Nebraska,QB,5,4.98,,32,115,7,4.41,,76,218,32.5,10.5,QB,QB12,https://www.nfl.com/prospects/tanner-lee?id=32462018-0002-5600-98e8-58eeacc58a6f
Chase Litton,Marshall,QB,4.98,4.9,,29.5,106,7.49,4.53,,77,230,32.25,9.375,QB,QB13,https://www.nfl.com/prospects/chase-litton?id=32462018-0002-5602-11b5-46d54966c5d3
Nic Shimonek,Texas Tech,QB,4.98,4.88,,28.5,101,7.28,4.32,,75,220,30.75,9.25,QB,QB17,https://www.nfl.com/prospects/nic-shimonek?id=32462018-0002-5600-0284-4b4a647ac72e
J.T. Barrett,Ohio State,QB,4.95,4.7,,30,108,7.38,4.44,,73,224,32,9.875,QB,QB03,https://www.nfl.com/prospects/j.t.-barrett?id=32462018-0002-5598-738a-431b11ba5ae0
Logan Woodside,Toledo,QB,4.94,4.79,,31.5,103,6.94,4.15,,73,213,31,9.75,QB,QB19,https://www.nfl.com/prospects/logan-woodside?id=32462018-0002-5601-9613-f1771f9cf2cb
