Label,Mass,GrowthRate
0,277.59,0.0040516
1,60.891000000000005,0.022581
2,150.72,0.0039997
3,220.31,0.034464
4,277.92,0.0015166
5,61.114,0.036738
6,126.84,0.10178999999999999
7,222.39,0.027162000000000002
8,61.578,0.047377999999999997
9,129.99,0.10574000000000001
10,224.11,0.019088
11,62.24,0.053778999999999993
12,133.3,0.11105
13,63.034,0.057289
14,136.86,0.1141
15,63.91,0.06071699999999999
16,140.69,0.11567000000000001
17,277.29,0.0051884999999999995
18,64.846,0.066553
19,144.69,0.11565
20,277.41,0.011981
21,65.855,0.074034
22,148.84,0.11243
23,158.89,0.007350499999999999
24,146.8,0.008775100000000001
25,68.607,0.017585
26,278.01,0.018397999999999998
27,247.05,0.013975
28,67.003,0.07899099999999999
29,153.05,0.10935999999999998
30,158.96,0.018803999999999998
31,146.62,0.031965
32,68.72399999999999,0.037701
33,279.08,0.022844999999999997
34,247.88,0.013878
35,68.291,0.07798300000000001
36,157.21,0.10745999999999999
37,159.47,0.030095
38,147.44,0.046799
39,69.211,0.054484000000000005
40,280.57,0.023366
41,248.77,0.011676
42,69.645,0.070059
43,161.4,0.10480999999999999
44,160.46,0.038232
45,148.96,0.052440999999999995
46,70.02,0.064777
47,90.52600000000001,0.002062
48,282.26,0.019204
49,249.59,0.0091758
50,70.944,0.058526
51,165.62,0.1028
52,161.86,0.027673000000000003
53,150.88,0.050783999999999996
54,71.089,0.06718400000000001
55,90.31200000000001,0.020114
56,283.84,0.010657
57,250.22,0.008314700000000001
58,72.083,0.046116000000000004
59,169.88,0.0993
60,163.53,0.012222
61,152.87,0.045107
62,72.288,0.066957
63,90.618,0.028508999999999996
64,250.74,0.008522799999999999
65,73.018,0.035392
66,174.13,0.0937
67,154.72,0.037402
68,73.483,0.050413
69,91.221,0.030913999999999997
70,251.26,0.008928799999999999
71,149.28,0.046998000000000005
72,73.741,0.028839
73,178.27,0.08869400000000001
74,156.31,0.030080000000000003
75,74.69800000000001,0.053329999999999995
76,91.91,0.029367
77,251.81,0.009657899999999999
78,151.19,0.041483
79,74.314,0.024582
80,182.3,0.082848
81,165.28,0.013908000000000002
82,157.61,0.024551
83,92.631,0.025557
84,252.39,0.009124
85,152.79,0.041414
86,74.805,0.021804
87,186.19,0.076125
88,158.67,0.019873
89,75.961,0.075063
90,93.259,0.023362
91,253.02,0.00541
92,154.33,0.043562000000000003
93,75.227,0.020644
94,189.85,0.070007
95,159.54,0.013234000000000001
96,77.313,0.07749299999999999
97,93.814,0.025047999999999997
98,155.95,0.033020999999999995
99,75.62100000000001,0.019566
100,193.27,0.063973
101,160.24,0.0024338000000000003
102,78.806,0.054647
103,94.351,0.03238
104,157.69,0.026594
105,76.00399999999999,0.019316999999999997
106,166.94,0.022935
107,80.319,0.036864
108,94.99,0.042957999999999996
109,76.361,0.02121
110,201.15,0.019133
111,95.875,0.053436000000000004
112,159.37,0.025856
113,76.736,0.025877999999999998
114,179.39,0.045992
115,201.65,0.032096
116,168.4,0.024894
117,81.604,0.027532
118,97.02600000000001,0.06290499999999999
119,275.57,0.0086352
120,160.62,0.01345
121,77.173,0.03349
122,181.44,0.04724
123,203.08,0.035124
124,169.59,0.018656
125,82.443,0.00054441
126,98.43700000000001,0.069185
127,275.69,0.022704
128,77.72800000000001,0.042676
129,183.52,0.049083
130,204.89,0.029418
131,188.19,0.003432
132,170.5,0.01296
133,100.07,0.070138
134,276.76,0.034492
135,184.21,0.0028171999999999997
136,78.457,0.052725
137,185.7,0.050445
138,206.62,0.018355
139,188.29,0.010031
140,171.16,0.008206399999999999
