Label,Mass,GrowthRate
0,172.4,0.0
1,173.96,0.0
2,175.36,0.0
3,176.73,0.0
4,208.24,0.0
5,178.23,0.0
6,209.82,0.0
7,179.98,0.0
8,211.53,0.0
9,182.06,0.0
10,213.13,0.0
11,184.44,0.0
12,214.43,0.0
13,187.01,0.0
14,215.4,0.0
15,189.55,0.0
16,216.09,0.0
17,191.86,0.0
18,129.59,0.0
19,216.67,0.0
20,193.8,0.0
21,130.21,0.0
22,217.32,0.0
23,195.29,0.0
24,130.78,0.0
25,218.11,0.0
26,196.4,0.0
27,219.02,0.0
28,197.17,0.0
29,219.96,0.0
30,197.67,0.0
31,149.58,0.0
32,220.8,0.0
33,197.99,0.0
34,150.62,0.0
35,221.44,0.0
36,198.21,0.0
37,151.53,0.0
38,198.4,0.0
39,152.22,0.0
40,198.55,0.0
41,152.69,0.0
42,198.67,0.0
43,171.96,0.0
44,106.97,0.0
45,198.87,0.0
46,172.35,0.0
47,106.97,0.0
48,199.23,0.0
49,84.41799999999999,0.0
50,173.53,0.0
51,107.24,0.0
52,199.85,0.0
53,84.537,0.0
54,175.38,0.0
55,107.81,0.0
56,200.86,0.0
57,170.12,0.0
58,84.792,0.0
59,177.75,0.0
60,108.71,0.0
61,202.35,0.0
62,170.82,0.0
63,180.39,0.0
64,109.91,0.0
65,204.21,0.0
66,171.5,0.0
67,183.01,0.0
68,111.3,0.0
69,206.34,0.0
70,172.13,0.0
71,185.41,0.0
72,216.64,0.0
73,112.75,0.0
74,208.56,0.0
75,172.72,0.0
76,187.49,0.0
77,216.72,0.0
78,114.08,0.0
79,210.63,0.0
80,173.38,0.0
81,189.26,0.0
82,217.21,0.0
83,115.1,0.0
84,212.47,0.0
85,174.25,0.0
86,190.78,0.0
87,218.04,0.0
88,214.06,0.0
89,175.46,0.0
90,192.16,0.0
91,219.03,0.0
92,215.42,0.0
93,177.08,0.0
94,193.47,0.0
95,216.68,0.0
96,179.16,0.0
97,370.5,0.0
98,194.75,0.0
99,217.87,0.0
100,181.67,0.0
101,219.1,0.0
102,184.58,0.0
103,370.25,0.0
104,80.14399999999999,0.0
105,196.01,0.0
106,137.45,0.0
107,220.39,0.0
