Label,Mass,GrowthRate
0,160.08,0.040567
1,93.00200000000001,0.050644999999999996
2,161.81,0.033898000000000005
3,94.23100000000001,0.043389
4,171.96,0.00982
5,160.56,0.021789
6,200.3,0.015123
7,155.14,0.085754
8,163.32,0.025467
9,148.01,0.023153
10,95.351,0.035648
11,161.41,0.023503
12,201.99,0.0094019
13,200.96,0.017113999999999997
14,158.49,0.079718
15,164.56,0.014412000000000001
16,148.86,0.026116000000000004
17,122.4,0.10734
18,115.36,0.081737
19,96.27799999999999,0.028799
20,155.84,0.007554000000000001
21,113.17,0.0059612
22,162.32,0.018585
23,201.81,0.015068000000000002
24,139.27,0.0039883
25,161.79,0.065572
26,165.4,0.0028283
27,149.72,0.034142
28,97.05,0.022373
29,155.87,0.023207
30,113.39,0.0034545
31,163.3,0.020586
32,92.265,0.015293000000000001
33,202.67,0.0096547
34,139.26,0.013012000000000001
35,164.8,0.044831
36,150.8,0.046968
37,97.66,0.018645
38,156.43,0.041009
39,113.51,0.0028682
40,92.64399999999999,0.012338
41,203.33,0.0025749
42,139.55,0.022361000000000002
43,167.11,0.020326
44,152.29,0.059625
45,98.13799999999999,0.017427
46,157.69,0.056294000000000004
47,113.58,0.0032465000000000003
48,164.34,0.02924
49,92.975,0.008176000000000001
50,140.17,0.029833999999999996
51,135.43,0.0018541
52,154.33,0.048667
53,98.573,0.017643
54,165.5,0.029552999999999996
55,93.21600000000001,0.0039347
56,141.11,0.03367
57,156.82,0.043279000000000005
58,196.3,0.074542
59,98.991,0.020102000000000002
60,371.87,0.014521000000000001
61,168.0,0.0022228
62,166.74,0.027217
63,93.354,0.0010703
64,98.479,0.013741
65,142.26,0.033109
66,164.41,0.0055225000000000005
67,134.93,0.021072999999999998
68,199.68,0.08010700000000001
69,99.44200000000001,0.015482
70,373.26,0.013373
71,167.76,0.017606
72,167.94,0.021294999999999998
73,93.4,0.00018678
74,98.96700000000001,0.0011007
75,143.48,0.027562
76,207.76,0.03162
77,164.42,0.016447999999999997
78,114.85,0.009159200000000001
79,135.3,0.034755
80,159.36,0.045974
81,203.63,0.075696
82,99.98700000000001,0.022517
83,374.57,0.012106
84,168.19,0.029745999999999998
85,169.0,0.011297
86,93.40299999999999,0.00039434
87,138.28,0.010129
88,144.62,0.019025999999999998
89,209.2,0.040372000000000005
90,164.86,0.01891
91,136.35,0.042194
92,161.49,0.027761
93,207.68,0.061663
94,375.75,0.011035
95,169.24,0.036918
96,169.73,0.00031273
97,93.40899999999999,0.00071009
98,138.57,0.012913999999999998
99,145.46,0.012395999999999999
100,211.04,0.052660000000000005
101,165.77,0.025707
102,114.89,0.020415
103,137.66,0.047777
104,163.02,0.009525
105,211.33,0.041541
106,376.84,0.009828100000000001
107,170.7,0.040272
108,93.42200000000001,0.00077549
109,138.98,0.013187
110,145.99,0.0091307
111,213.43,0.066879
112,139.24,0.047131
113,102.2,0.0068411
114,214.11,0.018826
115,100.67,0.041257999999999996
